Wavelength (pm),Intensity (mJy)
10.2419,0.0001
10.4837,0.0001
10.7256,0.0001
10.9675,0.0001
11.2093,0.0001
11.4512,0.0001
11.6931,0.0001
11.9349,0.0001
12.1768,0.0001
12.4187,0.0001
12.6606,0.0001
12.9024,0.0001
13.1443,0.0001
13.3862,0.0001
13.6280,0.0001
13.8699,0.1155
14.1118,0.0001
14.3536,0.0001
14.5955,0.0001
14.8374,0.0001
15.0792,0.0001
15.3211,0.0113
15.5630,0.0001
15.8048,0.0001
16.0467,0.0001
16.2886,0.0001
16.5304,0.0001
16.7723,0.0001
17.0142,0.0001
17.2560,0.0001
17.4979,0.0001
17.7398,0.0001
17.9817,0.0001
18.2235,0.0001
18.4654,0.0001
18.7073,0.0001
18.9491,0.0001
19.1910,0.0001
19.4329,0.0001
19.6747,0.0001
19.9166,0.0001
20.1585,0.0001
20.4003,0.0001
20.6422,0.0001
20.8841,0.0001
21.1259,0.0001
21.3678,0.0001
21.6097,0.0001
21.8515,0.0001
22.0934,0.0001
22.3353,0.0002
22.5771,0.0001
22.8190,0.0001
23.0609,0.0002
23.3028,0.0002
23.5446,0.0002
23.7865,0.0002
24.0284,0.0002
24.2702,0.0002
24.5121,0.0002
24.7540,0.0002
24.9958,0.0002
25.2377,0.0002
25.4796,0.0002
25.7214,0.0002
25.9633,0.0002
26.2052,0.0002
26.4470,0.0002
26.6889,0.0002
26.9308,0.0002
27.1726,0.0002
27.4145,0.0002
27.6564,0.0002
27.8982,0.0002
28.1401,0.0003
28.3820,0.0003
28.6239,0.0003
28.8657,0.0003
29.1076,0.0004
29.3495,0.0004
29.5913,0.0005
29.8332,0.0005
30.0751,0.0006
30.3169,0.0007
30.5588,0.0007
30.8007,0.0008
31.0425,0.0009
31.2844,0.0011
31.5263,0.0012
31.7681,0.0013
32.0100,0.0015
32.2519,0.0016
32.4937,0.0018
32.7356,0.0020
32.9775,0.0023
33.2193,0.0026
33.4612,0.0028
33.7031,0.0030
33.9450,0.0033
34.1868,0.0037
34.4287,0.0040
34.6706,0.0044
34.9124,0.0049
35.1543,0.0052
35.3962,0.0057
35.6380,0.0064
35.8799,0.0070
36.1218,0.0072
36.3636,0.0078
36.6055,0.0087
36.8474,0.0090
37.0892,0.0099
37.3311,0.0105
37.5730,0.0112
37.8148,0.0121
38.0567,0.0125
38.2986,0.0138
38.5405,0.0150
38.7823,0.0155
39.0242,0.0165
39.2661,0.0165
39.5079,0.0181
39.7498,0.0186
39.9917,0.0207
40.2335,0.0207
40.4754,0.0219
40.7173,0.0232
40.9591,0.0449
41.2010,0.0250
41.4429,0.0259
41.6847,0.0275
41.9266,0.0286
42.1685,0.0289
42.4103,0.0310
42.6522,0.0323
42.8941,0.0342
43.1359,0.0357
43.3778,0.0367
43.6197,0.0376
43.8616,0.0382
44.1034,0.0389
44.3453,0.0402
44.5872,0.0413
44.8290,0.0431
45.0709,0.0452
45.3128,0.0462
45.5546,0.0497
45.7965,0.0495
46.0384,0.0504
46.2802,0.0509
46.5221,0.0518
46.7640,0.0540
47.0058,0.0565
47.2477,0.0567
47.4896,0.0597
47.7314,0.0603
47.9733,0.0611
48.2152,0.0622
48.4570,0.0616
48.6989,0.0639
48.9408,0.0653
49.1827,0.0682
49.4245,0.0694
49.6664,0.0702
49.9083,0.0702
50.1501,0.0692
50.3920,0.0734
50.6339,0.0713
50.8757,0.0760
51.1176,0.0771
51.3595,0.0808
51.6013,0.0846
51.8432,0.0774
52.0851,0.0783
52.3269,0.0802
52.5688,0.0813
52.8107,0.0840
53.0525,0.0832
53.2944,0.0833
53.5363,0.0870
53.7781,0.0870
54.0200,0.0886
54.2619,0.0903
54.5038,0.0854
54.7456,0.0895
54.9875,0.0887
55.2294,0.0927
55.4712,0.0890
55.7131,0.0963
55.9550,0.0949
56.1968,0.0948
56.4387,0.0947
56.6806,0.0951
56.9224,0.0953
57.1643,0.0964
57.4062,0.1020
57.6480,0.1023
57.8899,0.1033
58.1318,0.1019
58.3736,0.1009
58.6155,0.1018
58.8574,0.1032
59.0992,0.1020
59.3411,0.1496
59.5830,0.1025
59.8249,0.1016
60.0667,0.1058
60.3086,0.1062
60.5505,0.1299
60.7923,0.1059
61.0342,0.1079
61.2761,0.1067
61.5179,0.1051
61.7598,0.1074
62.0017,0.1093
62.2435,0.1095
62.4854,0.1086
62.7273,0.1080
62.9691,0.1108
63.2110,0.1057
63.4529,0.1123
63.6947,0.1091
63.9366,0.1139
64.1785,0.1076
64.4204,0.1082
64.6622,0.1142
64.9041,0.1120
65.1460,0.1091
65.3878,0.1117
65.6297,0.1097
65.8716,0.1117
66.1134,0.1092
66.3553,0.1074
66.5972,0.1115
66.8390,0.1092
67.0809,0.1066
67.3228,0.1134
67.5646,0.1104
67.8065,0.1080
68.0484,0.1109
68.2902,0.1125
68.5321,0.1124
68.7740,0.1119
69.0158,0.1125
69.2577,0.1132
69.4996,0.1102
69.7415,0.1121
69.9833,0.1124
70.2252,0.1108
70.4671,0.1083
70.7089,0.1103
70.9508,0.1108
71.1927,0.1140
71.4345,0.1109
71.6764,0.1132
71.9183,0.1094
72.1601,0.1121
72.4020,0.1125
72.6439,0.1110
72.8857,0.1116
73.1276,0.1129
73.3695,0.1081
73.6113,0.1144
73.8532,0.1152
74.0951,0.1131
74.3369,0.1156
74.5788,0.1145
74.8207,0.1146
75.0626,0.1134
75.3044,0.1193
75.5463,0.1181
75.7882,0.1183
76.0300,0.1212
76.2719,0.1214
76.5138,0.1242
76.7556,0.1239
76.9975,0.1268
77.2394,0.1291
77.4812,0.1364
77.7231,0.1340
77.9650,0.1385
78.2068,0.1452
78.4487,0.1513
78.6906,0.1580
78.9324,0.1673
79.1743,0.1777
79.4162,0.1842
79.6580,0.1929
79.8999,0.2051
80.1418,0.2117
80.3837,0.2209
80.6255,0.2241
80.8674,0.2110
81.1093,0.1998
81.3511,0.1991
81.5930,0.1917
81.8349,0.1808
82.0767,0.1710
82.3186,0.1565
82.5605,0.1474
82.8023,0.1446
83.0442,0.1319
83.2861,0.1327
83.5279,0.1278
83.7698,0.1164
84.0117,0.1186
84.2535,0.1171
84.4954,0.1137
84.7373,0.1125
84.9791,0.1050
85.2210,0.1081
85.4629,0.1061
85.7048,0.1013
85.9466,0.1009
86.1885,0.1009
86.4304,0.1020
86.6722,0.0956
86.9141,0.0989
87.1560,0.0971
87.3978,0.0969
87.6397,0.0946
87.8816,0.0955
88.1234,0.0941
88.3653,0.0943
88.6072,0.0911
88.8490,0.0935
89.0909,0.0899
89.3328,0.0879
89.5746,0.0886
89.8165,0.0890
90.0584,0.0899
90.3003,0.0874
90.5421,0.0851
90.7840,0.0866
91.0259,0.0867
91.2677,0.0862
91.5096,0.0836
91.7515,0.0859
91.9933,0.0844
92.2352,0.0831
92.4771,0.0823
92.7189,0.0847
92.9608,0.0831
93.2027,0.0851
93.4445,0.0815
93.6864,0.0821
93.9283,0.0824
94.1701,0.0837
94.4120,0.0842
94.6539,0.0844
94.8957,0.0815
95.1376,0.0810
95.3795,0.0831
95.6214,0.0783
95.8632,0.0831
96.1051,0.0805
96.3470,0.0808
96.5888,0.0829
96.8307,0.0820
97.0726,0.0823
97.3144,0.0850
97.5563,0.0868
97.7982,0.0903
98.0400,0.0900
98.2819,0.0942
98.5238,0.0951
98.7656,0.1017
99.0075,0.1073
99.2494,0.1080
99.4912,0.1122
99.7331,0.1194
99.9750,0.1243
100.2168,0.1339
100.4587,0.1458
100.7006,0.1473
100.9425,0.1581
101.1843,0.1636
101.4262,0.1755
101.6681,0.1696
101.9099,0.1819
102.1518,0.1813
102.3937,0.1868
102.6355,0.1848
102.8774,0.1787
103.1193,0.1848
103.3611,0.1809
103.6030,0.1804
103.8449,0.1726
104.0867,0.1671
104.3286,0.1626
104.5705,0.1631
104.8123,0.1480
105.0542,0.1416
105.2961,0.2554
105.5379,0.1283
105.7798,0.1168
106.0217,0.1103
106.2636,0.1056
106.5054,0.0990
106.7473,0.0921
106.9892,0.0850
107.2310,0.0864
107.4729,0.0804
107.7148,0.0781
107.9566,0.0724
108.1985,0.0721
108.4404,0.0688
108.6822,0.0679
108.9241,0.2412
109.1660,0.0647
109.4078,0.0645
109.6497,0.0650
109.8916,0.0626
110.1334,0.0603
110.3753,0.0603
110.6172,0.0599
110.8590,0.0565
111.1009,0.0599
111.3428,0.0600
111.5847,0.0582
111.8265,0.0587
112.0684,0.0563
112.3103,0.0568
112.5521,0.0560
112.7940,0.0566
113.0359,0.0532
113.2777,0.0558
113.5196,0.0555
113.7615,0.0548
114.0033,0.0547
114.2452,0.0532
114.4871,0.0520
114.7289,0.0518
114.9708,0.0543
115.2127,0.0516
115.4545,0.0519
115.6964,0.0530
115.9383,0.0531
116.1802,0.0534
116.4220,0.0511
116.6639,0.0511
116.9058,0.0516
117.1476,0.0503
117.3895,0.0492
117.6314,0.0504
117.8732,0.0493
118.1151,0.0494
118.3570,0.0489
118.5988,0.0503
118.8407,0.0490
119.0826,0.0476
119.3244,0.0471
119.5663,0.0479
119.8082,0.0464
120.0500,0.0481
120.2919,0.0481
120.5338,0.0458
120.7756,0.0466
121.0175,0.0470
121.2594,0.0475
121.5013,0.0479
121.7431,0.0459
121.9850,0.0451
122.2269,0.0452
122.4687,0.0439
122.7106,0.0448
122.9525,0.0451
123.1943,0.0434
123.4362,0.0435
123.6781,0.0432
123.9199,0.0444
124.1618,0.0439
124.4037,0.0420
124.6455,0.0431
124.8874,0.0432
125.1293,0.0438
125.3711,0.0432
125.6130,0.0411
125.8549,0.0430
126.0967,0.0403
126.3386,0.0414
126.5805,0.0405
126.8224,0.0416
127.0642,0.0410
127.3061,0.0415
127.5480,0.0409
127.7898,0.0386
128.0317,0.0395
128.2736,0.0403
128.5154,0.0402
128.7573,0.0405
128.9992,0.0401
129.2410,0.0819
129.4829,0.0399
129.7248,0.0392
129.9666,0.0387
130.2085,0.0386
130.4504,0.0387
130.6922,0.0381
130.9341,0.0380
131.1760,0.0376
131.4178,0.0378
131.6597,0.0371
131.9016,0.0367
132.1435,0.0372
132.3853,0.0361
132.6272,0.0376
132.8691,0.0361
133.1109,0.0347
133.3528,0.0363
133.5947,0.0373
133.8365,0.0363
134.0784,0.0345
134.3203,0.0357
134.5621,0.0359
134.8040,0.0355
135.0459,0.0343
135.2877,0.0342
135.5296,0.0357
135.7715,0.0351
136.0133,0.0342
136.2552,0.0343
136.4971,0.0341
136.7389,0.0339
136.9808,0.0341
137.2227,0.0330
137.4646,0.0324
137.7064,0.0336
137.9483,0.0335
138.1902,0.0325
138.4320,0.0326
138.6739,0.0321
138.9158,0.0330
139.1576,0.0331
139.3995,0.0316
139.6414,0.0332
139.8832,0.0315
140.1251,0.0314
140.3670,0.0316
140.6088,0.0303
140.8507,0.0319
141.0926,0.0305
141.3344,0.0306
141.5763,0.0304
141.8182,0.0305
142.0601,0.0301
142.3019,0.0307
142.5438,0.0295
142.7857,0.0306
143.0275,0.0297
143.2694,0.0305
143.5113,0.0292
143.7531,0.0291
143.9950,0.0301
144.2369,0.0296
144.4787,0.0286
144.7206,0.0288
144.9625,0.0290
145.2043,0.0291
145.4462,0.0288
145.6881,0.0293
145.9299,0.0287
146.1718,0.0287
146.4137,0.0279
146.6555,0.0280
146.8974,0.0287
147.1393,0.0284
147.3812,0.0270
147.6230,0.0281
147.8649,0.0284
148.1068,0.0273
148.3486,0.0271
148.5905,0.0274
148.8324,0.0267
149.0742,0.0276
149.3161,0.0274
149.5580,0.0268
149.7998,0.0269
150.0417,0.0274
150.2836,0.0261
150.5254,0.0257
150.7673,0.0262
151.0092,0.0294
151.2510,0.0260
151.4929,0.0255
151.7348,0.0259
151.9766,0.0254
152.2185,0.0257
152.4604,0.0256
152.7023,0.0246
152.9441,0.0249
153.1860,0.0255
153.4279,0.0241
153.6697,0.0256
153.9116,0.0247
154.1535,0.0245
154.3953,0.0242
154.6372,0.0242
154.8791,0.0240
155.1209,0.0246
155.3628,0.0241
155.6047,0.0231
155.8465,0.0238
156.0884,0.0231
156.3303,0.0242
156.5721,0.0246
156.8140,0.0236
157.0559,0.0237
157.2977,0.0228
157.5396,0.0228
157.7815,0.0227
158.0234,0.0226
158.2652,0.0227
158.5071,0.0223
158.7490,0.0221
158.9908,0.0225
159.2327,0.0222
159.4746,0.0220
159.7164,0.0225
159.9583,0.0217
160.2002,0.0227
160.4420,0.0294
160.6839,0.0221
160.9258,0.0213
161.1676,0.1352
161.4095,0.0221
161.6514,0.0212
161.8932,0.0210
162.1351,0.0215
162.3770,0.0217
162.6188,0.0214
162.8607,0.0205
163.1026,0.0211
163.3445,0.0207
163.5863,0.0210
163.8282,0.0204
164.0701,0.0207
164.3119,0.0202
164.5538,0.0204
164.7957,0.0209
165.0375,0.0200
165.2794,0.0201
165.5213,0.0205
165.7631,0.0206
166.0050,0.0206
166.2469,0.0197
166.4887,0.0201
166.7306,0.0229
166.9725,0.0199
167.2143,0.0194
167.4562,0.0195
167.6981,0.0197
167.9399,0.0195
168.1818,0.0190
168.4237,0.0194
168.6656,0.0194
168.9074,0.0196
169.1493,0.0182
169.3912,0.0189
169.6330,0.0185
169.8749,0.0186
170.1168,0.0193
170.3586,0.0190
170.6005,0.0180
170.8424,0.0186
171.0842,0.0184
171.3261,0.0178
171.5680,0.0190
171.8098,0.0184
172.0517,0.0180
172.2936,0.0181
172.5354,0.0180
172.7773,0.0179
173.0192,0.0181
173.2611,0.0180
173.5029,0.0178
173.7448,0.0181
173.9867,0.0177
174.2285,0.0179
174.4704,0.0173
174.7123,0.0175
174.9541,0.0176
175.1960,0.0169
175.4379,0.0173
175.6797,0.0172
175.9216,0.0172
176.1635,0.0167
176.4053,0.0164
176.6472,0.0172
176.8891,0.0168
177.1309,0.0170
177.3728,0.0165
177.6147,0.0165
177.8565,0.0166
178.0984,0.0158
178.3403,0.0164
178.5822,0.0169
178.8240,0.0161
179.0659,0.0161
179.3078,0.0166
179.5496,0.0164
179.7915,0.0163
180.0334,0.0162
180.2752,0.0156
180.5171,0.0161
180.7590,0.0162
181.0008,0.0155
181.2427,0.0158
181.4846,0.0156
181.7264,0.0155
181.9683,0.0159
182.2102,0.0153
182.4520,0.0156
182.6939,0.0157
182.9358,0.0150
183.1776,0.0157
183.4195,0.0147
183.6614,0.0152
183.9033,0.0152
184.1451,0.0154
184.3870,0.0149
184.6289,0.0151
184.8707,0.0145
185.1126,0.0153
185.3545,0.0632
185.5963,0.0143
185.8382,0.0147
186.0801,0.0144
186.3219,0.0150
186.5638,0.0150
186.8057,0.0143
187.0475,0.0146
187.2894,0.0142
187.5313,0.0148
187.7731,0.0144
188.0150,0.0139
188.2569,0.0142
188.4987,0.0141
188.7406,0.1065
188.9825,0.0140
189.2244,0.0138
189.4662,0.0137
189.7081,0.0138
189.9500,0.0139
190.1918,0.0139
190.4337,0.0138
190.6756,0.0136
190.9174,0.0141
191.1593,0.0137
191.4012,0.0133
191.6430,0.0134
191.8849,0.0137
192.1268,0.0132
192.3686,0.0236
192.6105,0.0135
192.8524,0.0131
193.0942,0.0132
193.3361,0.0131
193.5780,0.0133
193.8198,0.0133
194.0617,0.0131
194.3036,0.0125
194.5455,0.0455
194.7873,0.0129
195.0292,0.0127
195.2711,0.0124
195.5129,0.0131
195.7548,0.0125
195.9967,0.0125
196.2385,0.0126
196.4804,0.0121
196.7223,0.0125
196.9641,0.0125
197.2060,0.0121
197.4479,0.0127
197.6897,0.0125
197.9316,0.0119
198.1735,0.0122
198.4153,0.0123
198.6572,0.0116
198.8991,0.0122
199.1410,0.0125
199.3828,0.0121
199.6247,0.1384
199.8666,0.0119
200.1084,0.0113
200.3503,0.0117
200.5922,0.0118
200.8340,0.0118
201.0759,0.0116
201.3178,0.0118
201.5596,0.0112
201.8015,0.0114
202.0434,0.0116
202.2852,0.0114
202.5271,0.0115
202.7690,0.0115
203.0108,0.0111
203.2527,0.0114
203.4946,0.0113
203.7364,0.0116
203.9783,0.0107
204.2202,0.0116
204.4621,0.0885
204.7039,0.0112
204.9458,0.0111
205.1877,0.0111
205.4295,0.0107
205.6714,0.0113
205.9133,0.0107
206.1551,0.0111
206.3970,0.0110
206.6389,0.0106
206.8807,0.0110
207.1226,0.0108
207.3645,0.0105
207.6063,0.0105
207.8482,0.0104
208.0901,0.0105
208.3319,0.0104
208.5738,0.0109
208.8157,0.0107
209.0575,0.0106
209.2994,0.0104
209.5413,0.0104
209.7832,0.0107
210.0250,0.0104
210.2669,0.0104
210.5088,0.0104
210.7506,0.0100
210.9925,0.0105
211.2344,0.0099
211.4762,0.0099
211.7181,0.0103
211.9600,0.0101
212.2018,0.0100
212.4437,0.0098
212.6856,0.0156
212.9274,0.0098
213.1693,0.0096
213.4112,0.0097
213.6530,0.0097
213.8949,0.0097
214.1368,0.0096
214.3786,0.0100
214.6205,0.0096
214.8624,0.0099
215.1043,0.0100
215.3461,0.0097
215.5880,0.0099
215.8299,0.0098
216.0717,0.0095
216.3136,0.0093
216.5555,0.0095
216.7973,0.0092
217.0392,0.0093
217.2811,0.0092
217.5229,0.0092
217.7648,0.0092
218.0067,0.0092
218.2485,0.0092
218.4904,0.0092
218.7323,0.0090
218.9741,0.0091
219.2160,0.0305
219.4579,0.0092
219.6997,0.0090
219.9416,0.0090
220.1835,0.0093
220.4254,0.0088
220.6672,0.0087
220.9091,0.0086
221.1510,0.0092
221.3928,0.0089
221.6347,0.0091
221.8766,0.0090
222.1184,0.0091
222.3603,0.0087
222.6022,0.0088
222.8440,0.0088
223.0859,0.0084
223.3278,0.0086
223.5696,0.0086
223.8115,0.0088
224.0534,0.0090
224.2952,0.0083
224.5371,0.0086
224.7790,0.0086
225.0209,0.0084
225.2627,0.0085
225.5046,0.0083
225.7465,0.0083
225.9883,0.0081
226.2302,0.0082
226.4721,0.0081
226.7139,0.0084
226.9558,0.0083
227.1977,0.0101
227.4395,0.0081
227.6814,0.0081
227.9233,0.1307
228.1651,0.0084
228.4070,0.0079
228.6489,0.0080
228.8907,0.0083
229.1326,0.0078
229.3745,0.0080
229.6163,0.0080
229.8582,0.0080
230.1001,0.0080
230.3420,0.0076
230.5838,0.0081
230.8257,0.0080
231.0676,0.0080
231.3094,0.0078
231.5513,0.0080
231.7932,0.0077
232.0350,0.0079
232.2769,0.0077
232.5188,0.0074
232.7606,0.0075
233.0025,0.0075
233.2444,0.0077
233.4862,0.0077
233.7281,0.0076
233.9700,0.0077
234.2118,0.0077
234.4537,0.0075
234.6956,0.0155
234.9374,0.0074
235.1793,0.0075
235.4212,0.0072
235.6631,0.0074
235.9049,0.0075
236.1468,0.0071
236.3887,0.0075
236.6305,0.0073
236.8724,0.0072
237.1143,0.0071
237.3561,0.0073
237.5980,0.0072
237.8399,0.0072
238.0817,0.0071
238.3236,0.0072
238.5655,0.0072
238.8073,0.0072
239.0492,0.0071
239.2911,0.0067
239.5329,0.0069
239.7748,0.0068
240.0167,0.0070
240.2585,0.1594
240.5004,0.0069
240.7423,0.0068
240.9842,0.0067
241.2260,0.0071
241.4679,0.0068
241.7098,0.0069
241.9516,0.0069
242.1935,0.0071
242.4354,0.0068
242.6772,0.0068
242.9191,0.0066
243.1610,0.0066
243.4028,0.0064
243.6447,0.0066
243.8866,0.0069
244.1284,0.0067
244.3703,0.0068
244.6122,0.0068
244.8540,0.0066
245.0959,0.0066
245.3378,0.0068
245.5796,0.0067
245.8215,0.0065
246.0634,0.0065
246.3053,0.0065
246.5471,0.0066
246.7890,0.0066
247.0309,0.0063
247.2727,0.0065
247.5146,0.0065
247.7565,0.0063
247.9983,0.0065
248.2402,0.0063
248.4821,0.0064
248.7239,0.0067
248.9658,0.0062
249.2077,0.0065
249.4495,0.0062
249.6914,0.0063
249.9333,0.0062
250.1751,0.0063
250.4170,0.0061
250.6589,0.0062
250.9008,0.0060
251.1426,0.0064
251.3845,0.0061
251.6264,0.0062
251.8682,0.0061
252.1101,0.0061
252.3520,0.0061
252.5938,0.0059
252.8357,0.0060
253.0776,0.0597
253.3194,0.0061
253.5613,0.0059
253.8032,0.0087
254.0450,0.0059
254.2869,0.0059
254.5288,0.0061
254.7706,0.0058
255.0125,0.0058
255.2544,0.0054
255.4962,0.0059
255.7381,0.0058
255.9800,0.0059
256.2219,0.0057
256.4637,0.0059
256.7056,0.0057
256.9475,0.0058
257.1893,0.0057
257.4312,0.0057
257.6731,0.0056
257.9149,0.0058
258.1568,0.0058
258.3987,0.0056
258.6405,0.0056
258.8824,0.0058
259.1243,0.0056
259.3661,0.0056
259.6080,0.0056
259.8499,0.0055
260.0917,0.0055
260.3336,0.0056
260.5755,0.0055
260.8173,0.0055
261.0592,0.0055
261.3011,0.0054
261.5430,0.0054
261.7848,0.0054
262.0267,0.0055
262.2686,0.0053
262.5104,0.0055
262.7523,0.0056
262.9942,0.0055
263.2360,0.0054
263.4779,0.0053
263.7198,0.0052
263.9616,0.0053
264.2035,0.0053
264.4454,0.0053
264.6872,0.0052
264.9291,0.0053
265.1710,0.0086
265.4128,0.0051
265.6547,0.0052
265.8966,0.0052
266.1384,0.0051
266.3803,0.0052
266.6222,0.0051
266.8641,0.0049
267.1059,0.0052
267.3478,0.0051
267.5897,0.0048
267.8315,0.0049
268.0734,0.0050
268.3153,0.0050
268.5571,0.0050
268.7990,0.0048
269.0409,0.0050
269.2827,0.0050
269.5246,0.0051
269.7665,0.0049
270.0083,0.0051
270.2502,0.0049
270.4921,0.0049
270.7339,0.0050
270.9758,0.0050
271.2177,0.0047
271.4595,0.0049
271.7014,0.0046
271.9433,0.0048
272.1852,0.0049
272.4270,0.0049
272.6689,0.0047
272.9108,0.0048
273.1526,0.0047
273.3945,0.0046
273.6364,0.0048
273.8782,0.0048
274.1201,0.0047
274.3620,0.0048
274.6038,0.0048
274.8457,0.0046
275.0876,0.0046
275.3294,0.0048
275.5713,0.0045
275.8132,0.0046
276.0550,0.0047
276.2969,0.0046
276.5388,0.0046
276.7807,0.0044
277.0225,0.0047
277.2644,0.0045
277.5063,0.0046
277.7481,0.0046
277.9900,0.0045
278.2319,0.0046
278.4737,0.0046
278.7156,0.0046
278.9575,0.0045
279.1993,0.0046
279.4412,0.0045
279.6831,0.0048
279.9249,0.0044
280.1668,0.0044
280.4087,0.0043
280.6505,0.0043
280.8924,0.0044
281.1343,0.0044
281.3761,0.0044
281.6180,0.0043
281.8599,0.0044
282.1018,0.0045
282.3436,0.0044
282.5855,0.0043
282.8274,0.0043
283.0692,0.0044
283.3111,0.0043
283.5530,0.0043
283.7948,0.0044
284.0367,0.0042
284.2786,0.0043
284.5204,0.0042
284.7623,0.0043
285.0042,0.0041
285.2460,0.0042
285.4879,0.0042
285.7298,0.0042
285.9716,0.0042
286.2135,0.0042
286.4554,0.0040
286.6972,0.0042
286.9391,0.0040
287.1810,0.0040
287.4229,0.0042
287.6647,0.0041
287.9066,0.0041
288.1485,0.0040
288.3903,0.0040
288.6322,0.0042
288.8741,0.0041
289.1159,0.0039
289.3578,0.0041
289.5997,0.0041
289.8415,0.0041
290.0834,0.0039
290.3253,0.0040
290.5671,0.0042
290.8090,0.0040
291.0509,0.0041
291.2927,0.0039
291.5346,0.0040
291.7765,0.0039
292.0183,0.0040
292.2602,0.0041
292.5021,0.0038
292.7440,0.0038
292.9858,0.0039
293.2277,0.0038
293.4696,0.0039
293.7114,0.0037
293.9533,0.0038
294.1952,0.0039
294.4370,0.0038
294.6789,0.0039
294.9208,0.0039
295.1626,0.0039
295.4045,0.0038
295.6464,0.0038
295.8882,0.0038
296.1301,0.0037
296.3720,0.0351
296.6138,0.0038
296.8557,0.0037
297.0976,0.0038
297.3394,0.0037
297.5813,0.0038
297.8232,0.0037
298.0651,0.0036
298.3069,0.0037
298.5488,0.0036
298.7907,0.0036
299.0325,0.0036
299.2744,0.0248
299.5163,0.0035
299.7581,0.0037
300.0000,0.0037
